3 5
[AaBbCBcAbDCaBdcb] 6 10
[ABabCcCcAa] 5 6
[ABabCAcaCcAa] 0 0
[AaBbABabCAcaAa] 6 9
[AaBbABCabDcAdaAa] 8 12
[AaBAbaCBcbCcBb] 4 7
[AaBACbaDcBdbDdBb] 6 10
[AaBCbcABabAaBb] 4 7
[AaBCDbcAdBabAaBb] 6 10
[AaBCbcDBdbDdBb] 4 7
[AaBCAbcDaBdbDdBb] 6 10
[ABabCBcbCcAa] 5 7
[ABabCABcabCcAa] 2 5
[ABCabDcABdabDdAa] 4 8
[ABabCDBcdbCcAa] 0 0
[AaBbCDBcdbCAcaAa] 8 12
[AaBAbaCDAcdaCcBb] 4 8
[AaBCbcADCadcAaBb] 4 8
[AaBCbcDACdacDdBb] 4 8
[ABabCDcdCcAa] 0 0
[AaBbCBcbDAdaAa] 14 14
[AaBbCBcbDAdaAaAa] 6 10
[AaBbCBcbDAdaAaBb] 6 10
[AaBbBCbcDAdaDdBb] 6 10
[AaBbBAbaCDcdCcBb] 6 10
[AaBAbaCDcdCcBb] 0 0
[AaAaBAbaCDcdCcBb] 6 10
[AaBbABabCDcdCcAa] 6 10
[AaBbCBcbDAdaDdBb] 6 10
[AaBbCBcbDAdaDdCc] 6 10
[AaBCbcADadAaBb] 0 0
[AaAaBCbcADadAaBb] 6 10
[AaBbCBcbDAdaBbAa] 6 10
[AaBbCAcaBDbdBbCc] 6 10
[AaBbCDcdBAbaBbCc] 6 10
[AaBCbcDAdaDdBb] 0 0
[AaAaBCbcDAdaDdBb] 6 10
[AaBbCBcbDAdaCcAa] 6 10
[AaBbCAcaDBdbDdCc] 6 10
[AaBbCBcbDAdaCcBb] 6 10
[ABabCcCcDd] 5 6
[AaBbCBcbDCdc] 12 12
[AaBbCBcbDCdcAa] 7 10
[AaBbCBcAbDCadcAa] 6 10
[AaBbCBcbDCdcBb] 7 10
[AaBbCBcAbDCadcBb] 6 10
[AaBbCBcbDCdcCc] 7 10
[AaBbCBcAbDCadcCc] 6 10
[AaBAbaCBcbCcDd] 4 7
[AaBACbaDcBdbDdCc] 6 10
[ABabCBcbCcDd] 5 7
[ABabCABcabCcDd] 2 5
[ABCabDcABdabDdCc] 4 8
[ABabCDBcdbCcDd] 0 0
[AaABabCDBcdbCcDd] 4 8
[AaBbCABcabCDcdCc] 8 12
[AaBbCABcabCDcdBb] 8 12
[AaBCbcDACdacDdAa] 4 8
[ABabCDcdCcDd] 0 0
[AaABabCDcdCcDd] 0 0
[AaAaABabCDcdCcDd] 6 10
[AaBbABabCDcdDdCc] 6 10
[AaBbABabCDcdDdBb] 6 10
[AaBbBCbcDAdaDdAa] 6 10
[AaBbABabCDcdCc] 14 14
[AaBbABabCDcdCcAa] 6 10
[AaBbABabCDcdCcBb] 6 10
[AaBbABabCDcdCcCc] 6 10
[AaBbABabCDcdCcDd] 6 10
[AaBbABabCDcdBb] 14 14
[AaBbCDcdBAbaBbAa] 6 10
[AaBbABabCDcdBbBb] 6 10
[AaBbABabCDcdBbCc] 6 10
[AaBbACacBDbdBbDd] 6 10
[AaBCbcDAdaDdAa] 0 0
[AaBbABabCDcdAaAa] 6 10
[AaBbACacDBdbDdBb] 6 10
[AaBbCAcaDBdbDdBb] 6 10
[AaBbCDcdABabAaBb] 6 10
[AaBb] 0 0
[AaAaBb] 0 0
[AaAaAaBb] 0 1
[ABabBbBbAa] 4 5
[ABabABabBbAa] 2 4
[ABCabcABabBbAa] 4 7
[ABCaDbcAdBabBbAa] 6 10
[ABabCBcbBbAa] 5 7
[ABabCABcabBbAa] 2 5
[ABCabDcABdabBbAa] 4 8
[ABabCDBcdbBbAa] 0 0
[AaBbBCDbcdBAbaAa] 8 12
[AaBAbaCDAcdaAaBb] 4 8
[AaBCbcADCadcCcBb] 4 8
[AaBCbcDACdacCcBb] 4 8
[ABabBbBbCc] 4 5
[ABabABabBbCc] 2 4
[ABCabcABabBbCc] 4 7
[ABCaDbcAdBabBbCc] 6 10
[AaBbBCbcDBCdbc] 7 10
[AaBbBCbAcDBaCdbc] 6 10
[ABabCBcbBbCc] 5 7
[ABabCABcabBbCc] 2 5
[AaBbBCAbcDaBCdbc] 8 12
[ABabCDBcdbBbCc] 0 0
[AaABabCDBcdbBbCc] 4 8
[AaBbBCAbcaBDbdBb] 8 12
[AaBCbcADCadcCcAa] 4 8
[AaBbBCAbcaBDbdCc] 8 12
[ABabCBcbBbDd] 5 7
[AaBbBCDbcdBCbc] 9 12
[ABCabDcABdabBbCc] 4 8
[ABabCDBcdbBbDd] 0 0
[AaABabCDBcdbBbDd] 4 8
[AaBbBACbacBDbdBb] 8 12
[AaBbBACbacBDbdCc] 8 12
[AaBCbcDACdacCcAa] 4 8
[AaBbBbAa] 0 1
[ABabAaAaBb] 5 6
[ABabABabAaBb] 2 4
[ABCabcABabAaBb] 5 8
[ABCabDcABdabAaBb] 4 8
[ABabACacAaBb] 1 3
[AaBbCBcbACBacb] 7 10
[AaBbCBcDbACdBacb] 6 10
[AaBbCBcbADBadb] 14 14
[AaBCAbcaBDbdBbAa] 6 10
[AaBbCBcbADBadbBb] 6 10
[AaBbCBcbADBadbCc] 6 10
[AaBACbacBDbdBbCc] 6 10
[ABabCcCcBb] 5 6
[ABabCAcaCcBb] 0 0
[AaABabCAcaCcBb] 4 7
[AaABCabDcAdaDdBb] 6 10
[AaBAbaCBcbCcAa] 5 8
[AaBbCBDcbAdCacAa] 8 12
[AaBbCBcbACacBb] 7 10
[AaBbCBcDbACdacBb] 6 10
[AaBCbcDBdbDdCc] 4 7
[AaBCAbcDaBdbDdCc] 6 10
[ABabCBcbCcBb] 5 7
[ABabCABcabCcBb] 2 5
[ABCabDcABdabDdBb] 4 8
[ABabCDBcdbCcBb] 0 0
[AaABabCDBcdbCcBb] 4 8
[AaBAbaCDAcdaCcAa] 4 8
[AaBbACBacbADadBb] 8 12
[AaBCbcDACdacDdCc] 4 8
[ABabCDcdCcBb] 0 0
[AaABabCDcdCcBb] 0 0
[AaAaABabCDcdCcBb] 6 10
[AaBbBAbaCDcdCcAa] 6 10
[AaBbCBcbADadDdBb] 6 10
[AaBbBCbcDAdaDdCc] 6 10
[AaBAbaCDcdCcAa] 0 0
[AaBbCBcbADadAaAa] 6 10
[AaBbABabCDcdCcBb] 6 10
[AaBbCBcbADadAaBb] 6 10
[AaBbCBcbDAdaDdBb] 6 10
[AaBbCBcbADadBb] 14 14
[AaBbCBcbADadBbAa] 6 10
[AaBbCBcbADadBbBb] 6 10
[AaBbCBcbADadBbCc] 6 10
[AaBbACacBDbdBbCc] 6 10
[AaBCbcDAdaDdCc] 0 0
[AaBbCBcbADadCcCc] 6 10
[AaBbACacDBdbDdCc] 6 10
[AaBbCBcbADadCcAa] 6 10
[AaBbCBcbADadCcBb] 6 10
[AaBbBbCc] 0 1
[AaBbBbCBcb] 4 5
[AaBbABabCBcb] 9 11
[ABCabcABabAaBb] 5 8
[ABCabDcABdabAaBb] 4 8
[AaBbABabCDBcdb] 14 14
[AaBCDbcdBAbaBbAa] 6 10
[AaBbABabCDBcdbBb] 6 10
[AaBbABabCDBcdbCc] 6 10
[AaBACbacBDbdBbDd] 6 10
[AaBbCBcbCBcb] 8 10
[AaBbCBcbACBacb] 7 10
[AaBbCBcDbACdBacb] 6 10
